222,MLU,Monroe Regional,Monroe,LA,590.54,590.20,5605
223,ITH,Ithaca Tompkins Regional,Ithaca/Cortland,NY,517.95,517.65,5450
224,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,455.70,455.44,5331
225,KTN,Ketchikan International,Ketchikan,AK,433.98,433.73,5258
226,ERI,Erie International/Tom Ridge Field,Erie,PA,406.60,406.37,5007
227,CPR,Casper/Natrona County International,Casper,WY,578.94,578.61,4961
228,ORH,Worcester Regional,Worcester,MA,245.44,245.30,4960
229,LRD,Laredo International,Laredo,TX,487.73,487.45,4903
230,BRO,Brownsville South Padre Island International,Brownsville,TX,566.33,566.00,4901
231,SPI,Abraham Lincoln Capital,Springfield,IL,420.87,420.62,4890
232,FSM,Fort Smith Regional,Fort Smith,AR,587.03,586.69,4685
233,PVU,Provo Municipal,Provo,UT,106.67,106.61,4636
234,ABI,Abilene Regional,Abilene,TX,517.83,517.54,4615
235,SAF,Santa Fe Municipal,Santa Fe,NM,468.01,467.74,4527
236,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,519.45,519.16,4453
237,GRI,Central Nebraska Regional,Grand Island,NE,288.65,288.49,4396
238,GUM,Guam International,Guam,TT,1272.01,1271.28,4381
239,YUM,Yuma MCAS/Yuma International,Yuma,AZ,467.11,466.84,4349
240,ISN,Sloulin Field International,Williston,ND,737.34,736.91,4272
241,BET,Bethel Airport,Bethel,AK,352.41,352.21,4180
242,CLL,Easterwood Field,College Station/Bryan,TX,534.94,534.63,4114
243,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,429.56,429.32,4007
244,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,478.78,478.51,3971
245,MTJ,Montrose Regional,Montrose/Delta,CO,571.29,570.96,3937
246,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,469.64,469.37,3927
247,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,566.67,566.34,3767
248,PUW,Pullman Moscow Regional,Pullman,WA,408.38,408.14,3703
249,EAT,Pangborn Memorial,Wenatchee,WA,376.19,375.97,3697
250,FLG,Flagstaff Pulliam,Flagstaff,AZ,471.76,471.49,3588
251,LWS,Lewiston Nez Perce County,Lewiston,ID,474.22,473.95,3582
252,LCH,Lake Charles Regional,Lake Charles,LA,578.12,577.78,3414
253,SIT,Sitka Rocky Gutierrez,Sitka,AK,393.59,393.37,3389
254,EGE,Eagle County Regional,Eagle,CO,689.18,688.78,3351
255,PIH,Pocatello Regional,Pocatello,ID,597.11,596.76,3306
256,ACT,Waco Regional,Waco,TX,522.77,522.46,3296
257,PSM,Portsmouth International at Pease,Portsmouth,NH,128.50,128.42,3292
258,PGV,Pitt Greenville,Greenville,NC,383.07,382.84,3262
259,ROW,Roswell International Air Center,Roswell,NM,475.10,474.83,3160
260,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,566.82,566.49,3122
261,TYR,Tyler Pounds Regional,Tyler,TX,567.64,567.31,3090
262,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,622.10,621.74,2873
263,MQT,Sawyer International,Marquette,MI,533.73,533.42,2839
264,ALW,Walla Walla Regional,Walla Walla,WA,362.00,361.79,2812
265,FLO,Florence Regional,Florence,SC,426.55,426.31,2787
266,ACK,Nantucket Memorial,Nantucket,MA,310.03,309.85,2767
267,VLD,Valdosta Regional,Valdosta,GA,628.27,627.91,2732
268,DHN,Dothan Regional,Dothan,AL,675.43,675.04,2694
